paper_id	ontology_name	ontology_id	evidence_quote
PMC3124520	THP-1 cell line	CLO:0000232	Gardet et al. , [29] also reported that IFN-γ could induce LRRK2 expression on hPBMC and THP-1 cells.
PMC9296523	peripheral blood mononuclear cell	CL:0000196	To gain insights into the impact of LRRK2 on GCase, we performed a comprehensive analysis of GCase levels and activity in complementary LRRK2 models, including (i) LRRK2 G2019S knock in (GSKI) mice, (ii) peripheral blood mononuclear cell (PBMCs), plasma, and fibroblasts from PD patients
PMC9296523	fibroblast	CL:0000057	To gain insights into the impact of LRRK2 on GCase, we performed a comprehensive analysis of GCase levels and activity in complementary LRRK2 models, including... (ii) peripheral blood mononuclear cell (PBMCs), plasma, and fibroblasts from PD patients carrying LRRK2 G2019S mutation
PMC9296523	dopaminergic neuron	CL:0000700	To gain insights into the impact of LRRK2 on GCase, we performed a comprehensive analysis of GCase levels and activity in complementary LRRK2 models, including... (iii) patient iPSCs-derived neurons
PMC9296523	HEK293T	CLO:0000135	To gain insights into the impact of LRRK2 on GCase, we performed a comprehensive analysis of GCase levels and activity in complementary LRRK2 models, including... (iv) endogenous and overexpressed cell models.
PMC9296523	macrophage	CL:0000235	To further complement and expand these findings, we took advantage of the macrophage cell model RAW264.7 where LRRK2 biology is well-characterized
bio_6a3b4b3f6c6d	microglial cell	CL:0000129	Primary mixed glial cultures were established from the brains of wild-type or from knock-in mice harbouring G2019S- LRRK2 mutation at postnatal days 1-2 (P1-2). After approximately 10 days, primary microglia were shaken from mixed glial cultures as described in Russo et al 15.
PMC12238589	macrophage	CL:0000235	Mouse bone marrow-derived macrophages (BMDMs) were cultured from WT-LRRK2 and G2019S-LRRK2 BAC mice that stably express LRRK2
PMC12238589	HEK293T	CLO:0000578	HEK293T cells were transfected with combinations of FKBP-WT-LRRK2 and FKBP-G2019S-LRRK2 (N-terminal tags) with mCherry-FRB, LAMP1-FRB, EMTB-FRB, and tubulin-FRB
PMC12238589	A549	CLO:0000625	To confirm the effects of nocodazole on pRab10 inhibition in human cells with high endogenous LRRK2 and Rab10 expression, the A549 lung cell line... were selected
PMC12238589	RAW 264.7	CLO:0000806	Lrrk2 knockout Raw 264.7 cells and HEK293T cells were cultured in DMEM supplemented with 10% fetal bovine serum and penicillin-streptomycin.
bio_af7a664e7803	naive CD4+ T cell	CL:0000895	Naïve CD4+ T cells isolated from splenocytes by the EasySep Mouse CD4+ T-cell Isolation Kit (#19852, STEMCELL Technologies, Vancouver, Canada) were used to evaluate the capability to differentiate
bio_af7a664e7803	Th1 cell	CL:0000545	T1 condition (Th1-polarized): MEMα medium supplemented with 10% FBS, 100U/ml of IL-2, 4 ng/ml of IL-12 (#210-12, PeproTech, East Windsor, NJ), and 10 μg/ml of anti-IL-4 mAb
bio_af7a664e7803	Th2 cell	CL:0000546	T2 condition (Th2-polarized): MEMα medium supplemented with 10% FBS, 100U/ml of IL-2, 10 ng/ml of IL-4 (#214-14, PeproTech), and 10 μg/ml of anti-IFN-γ mAb
bio_af7a664e7803	Th9 cell	CL:0000929	T9 condition (Th9-polarized): MEMα medium supplemented with 10% FBS, 100U/ml of IL-2, 10 ng/ml of IL-4, 1 ng/ml of TGF-β1 (#763104, BioLegend, San Diego, CA), 10 ng/ml of IL-1β
bio_af7a664e7803	regulatory T cell	CL:0000815	TR condition (Treg-polarized): MEMα medium supplemented with 10% FBS, 300U/ml of IL-2, 5 ng/ml of TGF-β1, 10 μg/ml of anti-IFN-γ mAb, 10 μg/ml of anti-IL-4 mAb.
bio_af7a664e7803	B cell	CL:0000236	Profiling of T and B cells was detected by flow cytometry analyses. Percentages of T cells (CD4+ and CD8+ T), B cells (CD4− CD19+)
bio_af7a664e7803	CD8-positive, alpha-beta T cell	CL:0000625	Profiling of T and B cells was detected by flow cytometry analyses. Percentages of T cells (CD4+ and CD8+ T)
bio_af7a664e7803	monocyte	CL:0000576	Although LRRK2 expression in T cells is relatively lower than in B cells and monocytes, T cells from PD patients display upregulated LRRK2 expression
PMC7560525	SH-SY5Y cell line	CLO:0000312	SH-SY5Y cells were maintained in DMEM (Thermofisher) medium supplemented with 15% heat-inactivated fetal calf serum (FCS, Thermofisher), 1% non-essential amino acids (Thermofisher) and 50 μg/ml gentamycin.
PMC7560525	medium spiny neuron	CL:0000679	Neurite length and neurite number of transduced medium spiny neurons (MSNs) were assessed until the quaternary branch.
bio_1e3cf8236f6f	microglial cell	CL:0000129	Recent data from primary human monocytes and mouse microglia cell line cultures (BV2 from C57BL/6 mice) have shown that rod-shaped α-synuclein fibrils induce pro-inflammatory responses
bio_1e3cf8236f6f	macrophage	CL:0000235	In CSF1-expanded (macrophage colony-stimulating factor, M-CSF) mouse bone marrow-derived primary macrophages, application of ∼642 pM in-solution of mouse α-synuclein rod fibril particles
bio_1e3cf8236f6f	monocyte	CL:0000576	In human CSF1-expanded monocyte-derived macrophages, application of 1 μg per mL of ∼20 nM rod-fibrils (∼642 pM) of human α-synuclein in-solution led to a similar induction of LRRK2 protein expression
bio_1e3cf8236f6f	BV-2 cell	CLO:0000049	Recent data from primary human monocytes and mouse microglia cell line cultures (BV2 from C57BL/6 mice) have shown that rod-shaped α-synuclein fibrils induce pro-inflammatory responses
bio_1e3cf8236f6f	HEK-293T cell	CLO:0000001	The R1441C-LRRK2 mutation results in ∼2-fold increases in phospho-Rab10 in transfected HEK-293T cells
bio_1e3cf8236f6f	T cell	CL:0000084	α-Synuclein fibrils (but not matched monomer protein) caused an increase in CD4+ T-cells recruited to the brain
