paper_id	species	yap_alteration	alteration_category	tissue_or_organ	phenotype	evidence_quote	title	authors	journal_or_source	pub_year	doi
PMC6662713	mouse	YAP-S112A (mtYAP)	activating_mutation	mouse embryonic fibroblasts (MEFs)	tumorigenic transformation	aberrant YAP activation alone is sufficient for inducing tumorigenic transformation in these non-immortalized cells.	Transformation of normal cells by aberrant activation of YAP via cMyc with TEAD	Masazumi Nishimoto, Kousuke Uranishi, Masamitsu N. Asaka, Ayumu Suzuki, Yosuke Mizuno, Masataka Hirasaki, Akihiko Okuda	Scientific Reports	2019	10.1038/s41598-019-47301-6
PMC3938155	human	YAP overexpression	overexpression	melanoma cells	increased invasiveness	Inversely, YAP overexpression increased melanoma cell invasiveness, associated with increased TEA domain–dependent transcription and CCN2/CTGF expression.	Pro-Invasive Activity of the Hippo Pathway Effectors YAP and TAZ in Cutaneous\nMelanoma	Flore Nallet-Staub, Véronique Marsaud, Ling Li, Cristèle Gilbert, Sophie Dodier, Véronique Bataille, Marius Sudol, Meenhard Herlyn, Alain Mauviel	The Journal of Investigative Dermatology	2014	10.1038/jid.2013.319
PMC3938155	human	YAP5SA	overexpression	melanoma cells	enhanced TEAD-specific transcription	Also, YAP and TAZ mutants with an exclusive nuclear localization (YAP5SA and TAZS89A) efficiently enhanced TEAD-specific transcription	Pro-Invasive Activity of the Hippo Pathway Effectors YAP and TAZ in Cutaneous\nMelanoma	Flore Nallet-Staub, Véronique Marsaud, Ling Li, Cristèle Gilbert, Sophie Dodier, Véronique Bataille, Marius Sudol, Meenhard Herlyn, Alain Mauviel	The Journal of Investigative Dermatology	2014	10.1038/jid.2013.319
PMC3938155	human	TAZS89A	overexpression	melanoma cells	enhanced TEAD-specific transcription	YAP and TAZ mutants with an exclusive nuclear localization (YAP5SA and TAZS89A) efficiently enhanced TEAD-specific transcription	Pro-Invasive Activity of the Hippo Pathway Effectors YAP and TAZ in Cutaneous\nMelanoma	Flore Nallet-Staub, Véronique Marsaud, Ling Li, Cristèle Gilbert, Sophie Dodier, Véronique Bataille, Marius Sudol, Meenhard Herlyn, Alain Mauviel	The Journal of Investigative Dermatology	2014	10.1038/jid.2013.319
PMC3938155	human	YAP overexpression	overexpression	SKmel28 melanoma cells	increased anchorage-independent growth	whereas markedly increasing SKmel28 anchorage-independent growth	Pro-Invasive Activity of the Hippo Pathway Effectors YAP and TAZ in Cutaneous\nMelanoma	Flore Nallet-Staub, Véronique Marsaud, Ling Li, Cristèle Gilbert, Sophie Dodier, Véronique Bataille, Marius Sudol, Meenhard Herlyn, Alain Mauviel	The Journal of Investigative Dermatology	2014	10.1038/jid.2013.319
PMC10800899	mouse	YAP overexpression	overexpression	dental epithelial cells	abnormalities in tooth morphology (widened dental lamina, ectopic cusp, arrested tooth crown development)	The overexpression of YAP in dental epithelial cells results in abnormalities in tooth morphology, such as widened dental lamina, mislocation of the enamel knot to the upper portion of enamel organ	Distinct and overlapping functions of YAP and TAZ in tooth development and periodontal homeostasis	Jing Ma, Haixia Fan, Haixia Geng	Frontiers in Cell and Developmental Biology	2024	10.3389/fcell.2023.1281250
PMC10800899	human	YAP overexpression	overexpression	human periodontal ligament cells (hPDLCs)	enhanced stretch-induced osteogenic differentiation	YAP overexpression enhanced the stretch-induced osteogenic differentiation of hPDLCs, whereas YAP knockdown inhibited the process.	Distinct and overlapping functions of YAP and TAZ in tooth development and periodontal homeostasis	Jing Ma, Haixia Fan, Haixia Geng	Frontiers in Cell and Developmental Biology	2024	10.3389/fcell.2023.1281250
PMC10800899	human	YAP overexpression	overexpression	human periodontal ligament stem cells (hPDLSCs)	enhanced mineralized nodule formation	The overexpression of YAP enhances the TNF-α-induced osteogenic differentiation and mineralized nodule formation in hPDLSCs	Distinct and overlapping functions of YAP and TAZ in tooth development and periodontal homeostasis	Jing Ma, Haixia Fan, Haixia Geng	Frontiers in Cell and Developmental Biology	2024	10.3389/fcell.2023.1281250
PMC3281119	Drosophila melanogaster	Yki overexpression	overexpression	eye	tissue overgrowth	When overexpressed in the developing D. melanogaster eye using GMR-Gal4, each transgene caused strong overgrowth	Control of Tissue Growth and Cell Transformation by the Salvador/Warts/Hippo Pathway	Xiaomeng Zhang, Felix A. Grusche, Kieran F. Harvey	PLoS ONE	2012	10.1371/journal.pone.0031994
PMC3281119	Drosophila melanogaster	Yki overexpression	overexpression	wing	tissue overgrowth	Overexpression of UAS-Yki or UAS-Yki-ΔC increased wing size relative to the control by 16.2% and 9.9%, respectively, showing that each transgene caused tissue overgrowth	Control of Tissue Growth and Cell Transformation by the Salvador/Warts/Hippo Pathway	Xiaomeng Zhang, Felix A. Grusche, Kieran F. Harvey	PLoS ONE	2012	10.1371/journal.pone.0031994
PMC3281119	human	YAP overexpression	overexpression	MCF10A cells	anchorage-independent growth	Overexpression of YAP can confer anchorage-independent growth of NIH3T3 or MCF10A cells and can stimulate growth-factor independent growth, migration and invasion of MCF10A cells	Control of Tissue Growth and Cell Transformation by the Salvador/Warts/Hippo Pathway	Xiaomeng Zhang, Felix A. Grusche, Kieran F. Harvey	PLoS ONE	2012	10.1371/journal.pone.0031994
PMC3281119	mouse	YAP overexpression	overexpression	liver, gastrointestinal tract and skin	hyperplasia	In transgenic mice, YAP overexpression in liver, gastrointestinal tract and skin induces hyperplasia	Control of Tissue Growth and Cell Transformation by the Salvador/Warts/Hippo Pathway	Xiaomeng Zhang, Felix A. Grusche, Kieran F. Harvey	PLoS ONE	2012	10.1371/journal.pone.0031994
PMC3281119	human	YAP-S127A	activating_mutation	MCF10A cells	increased cell migration	Cells expressing each mutant version of YAP migrated far less efficiently than cells expressing YAP-S127A, which exhibited enhanced migratory properties	Control of Tissue Growth and Cell Transformation by the Salvador/Warts/Hippo Pathway	Xiaomeng Zhang, Felix A. Grusche, Kieran F. Harvey	PLoS ONE	2012	10.1371/journal.pone.0031994
bio_7694cde973e4	Zebrafish	YAP1 overexpression	overexpression	posterior lateral line primordium	enlarged primordium and more posteriorly positioned neuromasts	Similarly, yap1 overexpression leads to an enlarged primordium and more posteriorly positioned neuromasts.	Sox2 Regulates Lateral Line Morphogenesis via Yap/Taz-Mediated Mechanotransduction	Akshai Janardhana Kurup *, Aya Mikdache, Patricia Diabangouaya, Gwendoline Gros, Camila Garcia-Baudino, Cristian A. Undurraga, Andres F. Sarrazin, Pedro P. Hernandez *	biorxiv		10.1101/2025.09.18.677037
bio_7694cde973e4	Zebrafish	constitutively active Yap (hsp:CA-yap1)	overexpression	posterior lateral line primordium	posterior shift in neuromast deposition	To determine whether elevated primordium Yap activity contributes to neuromast mispositioning, we overactivated Yap1 using hsp:CA- yap1 , which led to a posterior shift in neuromast deposition	Sox2 Regulates Lateral Line Morphogenesis via Yap/Taz-Mediated Mechanotransduction	Akshai Janardhana Kurup *, Aya Mikdache, Patricia Diabangouaya, Gwendoline Gros, Camila Garcia-Baudino, Cristian A. Undurraga, Andres F. Sarrazin, Pedro P. Hernandez *	biorxiv		10.1101/2025.09.18.677037
bio_7694cde973e4	Zebrafish	constitutively active Yap (hsp:CA-yap1)	overexpression	neuromasts	individual neuromasts contained more cells	Additionally, upon sox2 overexpression, individual neuromasts contained more cells ( Fig. 1E ). ... Constitutive Yap activation enlarges neuromasts	Sox2 Regulates Lateral Line Morphogenesis via Yap/Taz-Mediated Mechanotransduction	Akshai Janardhana Kurup *, Aya Mikdache, Patricia Diabangouaya, Gwendoline Gros, Camila Garcia-Baudino, Cristian A. Undurraga, Andres F. Sarrazin, Pedro P. Hernandez *	biorxiv		10.1101/2025.09.18.677037
bio_a48f93226e28	mouse	YAP1 overexpression	overexpression	skin	BCC tumor formation	Although YAP1 epidermal knockout leads to a reduction in tumor lesions in a mouse model of BCC 5 , a more profound effect is observed with the concomitant downregulation of both YAP1 and TAZ	YAP1-TAZ/TEAD transcriptional networks restrain differentiation downstream of oncogenic Hedgehog-SMO activity	Yao Yuan, Natalia Salinas Parra, Qianming Chen, Ramiro Iglesias-Bartolome *	biorxiv		10.1101/2020.12.28.424593
